lat,lon,timestamp_value,time_value
47.04503,8.321015,736761607,08:00:07
47.04503,8.321009,736761618,08:00:18
47.04503,8.321002,736761628,08:00:28
47.04503,8.321,736761638,08:00:38
47.04499,8.320974,736761650,08:00:50
47.04499,8.320975,736761659,08:00:59
47.04499,8.320945,736761669,08:01:09
47.04504,8.320796,736761679,08:01:19
47.04523,8.320726,736761690,08:01:30
47.04514,8.320841,736761700,08:01:40
47.04505,8.321044,736761712,08:01:52
47.04496,8.321166,736761721,08:02:01
47.04498,8.321364,736761731,08:02:11
47.04502,8.321569,736761741,08:02:21
47.04502,8.321603,736761751,08:02:31
47.04504,8.321533,736761761,08:02:41
47.04504,8.321399,736761782,08:03:02
47.04498,8.321536,736761792,08:03:12
47.04495,8.321549,736761803,08:03:23
47.04495,8.321566,736761813,08:03:33
47.04497,8.321552,736761823,08:03:43
47.04497,8.321616,736761844,08:04:04
47.04496,8.321608,736761854,08:04:14
47.04495,8.32161,736761864,08:04:24
47.04496,8.321614,736761874,08:04:34
47.04498,8.321616,736761885,08:04:45
47.04498,8.32159,736761897,08:04:57
47.04496,8.321572,736761906,08:05:06
47.04498,8.321575,736761916,08:05:16
47.04499,8.321577,736761926,08:05:26
47.045,8.32158,736761937,08:05:37
47.04501,8.321582,736761947,08:05:47
47.04504,8.321676,736761959,08:05:59
47.04506,8.321853,736761968,08:06:08
47.04509,8.322056,736761978,08:06:18
47.04509,8.322189,736761988,08:06:28
47.04509,8.322281,736761999,08:06:39
47.04511,8.322325,736762009,08:06:49
47.04513,8.322368,736762021,08:07:01
47.04515,8.322388,736762030,08:07:10
47.04517,8.322475,736762040,08:07:20
47.0452,8.322668,736762050,08:07:30
47.04523,8.32285,736762060,08:07:40
47.04526,8.323058,736762071,08:07:51
47.04529,8.3233,736762091,08:08:11
47.04535,8.323798,736762101,08:08:21
47.04544,8.324066,736762111,08:08:31
47.04561,8.324312,736762122,08:08:42
47.0458,8.324442,736762132,08:08:52
47.04603,8.324512,736762144,08:09:04
47.04629,8.324498,736762153,08:09:13
47.04654,8.32443,736762163,08:09:23
47.04679,8.324338,736762173,08:09:33
47.047,8.324202,736762183,08:09:43
47.0472,8.323935,736762194,08:09:54
47.04734,8.323632,736762206,08:10:06
47.0475,8.323349,736762215,08:10:15
47.04769,8.32311,736762225,08:10:25
47.04787,8.322896,736762235,08:10:35
47.04803,8.322616,736762245,08:10:45
47.04816,8.322329,736762255,08:10:55
47.04832,8.322001,736762267,08:11:07
47.04845,8.321686,736762276,08:11:16
47.04858,8.321342,736762286,08:11:26
47.04872,8.320994,736762297,08:11:37
47.04887,8.320708,736762307,08:11:47
47.04901,8.32041,736762317,08:11:57
47.04919,8.320142,736762329,08:12:09
47.04939,8.319882,736762338,08:12:18
47.04956,8.319596,736762348,08:12:28
47.04969,8.319286,736762358,08:12:38
47.04983,8.318981,736762368,08:12:48
47.05,8.318667,736762379,08:12:59
47.05013,8.318333,736762390,08:13:10
47.05024,8.318003,736762400,08:13:20
47.0504,8.317669,736762410,08:13:30
47.05055,8.31737,736762420,08:13:40
47.05065,8.317036,736762430,08:13:50
47.05075,8.316696,736762440,08:14:00
47.05082,8.316317,736762452,08:14:12
47.05088,8.315972,736762461,08:14:21
47.05104,8.315686,736762471,08:14:31
47.05125,8.315448,736762482,08:14:42
47.05149,8.315213,736762492,08:14:52
47.05163,8.314935,736762502,08:15:02
47.05172,8.3146,736762514,08:15:14
47.05179,8.314204,736762523,08:15:23
47.05186,8.313845,736762533,08:15:33
47.05196,8.313514,736762543,08:15:43
47.05204,8.313158,736762553,08:15:53
47.05204,8.31274,736762564,08:16:04
47.05198,8.312367,736762575,08:16:15
47.05191,8.311995,736762584,08:16:24
47.05188,8.311565,736762595,08:16:35
47.05184,8.311181,736762605,08:16:45
47.05176,8.310806,736762615,08:16:55
47.05174,8.310422,736762625,08:17:05
47.05185,8.310023,736762637,08:17:17
47.052,8.309734,736762646,08:17:26
47.05219,8.309564,736762656,08:17:36
47.0524,8.309532,736762667,08:17:47
47.0526,8.309658,736762677,08:17:57
47.05273,8.309891,736762687,08:18:07
47.0528,8.310176,736762699,08:18:19
47.05286,8.310499,736762708,08:18:28
47.05293,8.31079,736762718,08:18:38
47.05301,8.311095,736762728,08:18:48
47.05306,8.311402,736762738,08:18:58
