lat,lon,time_value,date_value
47.04229,8.320989,08:00:50,2023-05-28
47.04237,8.320986,08:01:01,2023-05-28
47.04244,8.320979,08:01:11,2023-05-28
47.0425,8.32097,08:01:21,2023-05-28
47.04254,8.320968,08:01:31,2023-05-28
47.04257,8.320965,08:01:52,2023-05-28
47.04267,8.320934,08:02:02,2023-05-28
47.04275,8.320926,08:02:13,2023-05-28
47.04282,8.320919,08:02:23,2023-05-28
47.04289,8.320915,08:02:33,2023-05-28
47.04297,8.320906,08:02:45,2023-05-28
47.04303,8.320906,08:02:54,2023-05-28
47.04311,8.320904,08:03:04,2023-05-28
47.04319,8.320909,08:03:14,2023-05-28
47.04327,8.320915,08:03:25,2023-05-28
47.04334,8.320919,08:03:35,2023-05-28
47.04341,8.32093,08:03:47,2023-05-28
47.04348,8.320944,08:03:56,2023-05-28
47.04354,8.320954,08:04:06,2023-05-28
47.04359,8.320963,08:04:16,2023-05-28
47.04364,8.320971,08:04:27,2023-05-28
47.04372,8.320982,08:04:37,2023-05-28
47.0438,8.320992,08:04:49,2023-05-28
47.04387,8.321006,08:04:58,2023-05-28
47.04393,8.321017,08:05:08,2023-05-28
47.044,8.321031,08:05:18,2023-05-28
47.04406,8.321044,08:05:28,2023-05-28
47.04413,8.321056,08:05:39,2023-05-28
47.04418,8.321065,08:05:59,2023-05-28
47.04431,8.321092,08:06:09,2023-05-28
47.04435,8.3211,08:06:20,2023-05-28
47.0444,8.321109,08:06:30,2023-05-28
47.04444,8.321118,08:06:40,2023-05-28
47.04448,8.321127,08:06:52,2023-05-28
47.04453,8.321136,08:07:01,2023-05-28
47.04457,8.321143,08:07:11,2023-05-28
47.04464,8.321255,08:07:21,2023-05-28
47.04465,8.321257,08:07:31,2023-05-28
47.04472,8.321214,08:07:42,2023-05-28
47.04477,8.321201,08:07:54,2023-05-28
47.0448,8.321196,08:08:02,2023-05-28
47.04488,8.321386,08:08:13,2023-05-28
47.0449,8.321572,08:08:23,2023-05-28
